,Bullets,URL,title
0,"401(k),401(k) matching,Dental insurance,Disability insurance,Flexible spending account,Health insurance,Paid time off,Parental leave,Vision insurance,8 hour shift,Bachelor's (Preferred),healthcare admin, supply chain, or data management: 3 years (Preferred),managing marketplace system, such as Prodigo, Coupa or Ariba: 3 years (Preferred),One location,www.inova.org,Waiting period may apply,Temporarily due to COVID-19",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMyzqmAhmlIEOLIa7-HqQxslM3qZe5Bf1RfW__XxWmquAxbDjA6itNiyfpc6nme4cByRjA7jgK8r_s-iCY0S6T63SqhgE-9DOjQFZlN58LBt3NLsWU2xCwzfZF5o_jbFTLIAPcI9YcTfYg0IOwo1LBaXGBdz5MnHmnWk27Uzc0ftPLuZ0tv1bgmO-K3akTD_HTvEV_l54JgdoZ-WqFuT-0mcTjYp4qvQKSARE_a-xnIhoQV3iRbcvTaAOFsv3GIarB3kYSD7kT1x6rb4KHkc1T8U-6s99_9V_PJnUAqDqNMNcoqoPofeBefdkctNxxoRstY7eEcj62Bz5oeIclsT7E-eUGgoDTrUtmsMLJbi0OEuvNuO56zm1tT9ioGjfBBdmj_jBohTSRZdKAZmt4pySiaE4Uw4vsYp8D98u381-txcDTTwxnUEwE-xr0-K4ek3Rdz9uMEQw41kcztu69FiW49vgtkBI59TtCmdOj8GkqdQ==&p=0&fvj=1&vjs=3,Prodigo Systems Administrator
1,"Create requisitions for hardware / software purchases and subsequent maintenance.,Tracks quality throughout product and contract lifecycles.,Coordinate with management in utilizing the asset management tools (ServiceNow) to create, analyze, review and track asset data, including the ongoing maintenance through quarterly attestations in Reliance.,Participate in audits and physical asset verification throughout the Enterprise for hardware / software assets.,Maintain process documentation as related processes improve/change.,Aid in the planning of the ongoing ITAM strategy and execution plan.,Provide artifacts in Service Now for all hardware / software procurements.,Work with other team members and management staff regarding document control and configuration management use and processes.,Provide recommendations and best-practices to improve existing CM processes and procedures.,Bachelor’s degree and 8 years of relevant experience. Additional years of relevant experience will be considered in lieu of Bachelor’s degree,Prior experience must include minimum 4 years of IT Asset Management experience, including IT Asset Management policy / processes documentation experience,Experience with ServiceNow application, specifically ServiceNow Asset Management Modules is required,Ability to analyze information and convert related activities into a comprehensive work plan,Ability to identify basic problems and procedural irregularities, collect data, establish facts, and draw valid conclusions,Articulate ideas and concepts clearly and professionally,Demonstrated experience gathering customer requirements,Demonstrated problem solving skills,Demonstrated written communication skills",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRp_XAqAGWojRVasZ8yXdb6dn7xXj7qk4kAzdrFWjADsAyNwpuN-XYRfx-L4qArno95FhrfmbyMPL0-Tl-lTuu0mfEVmzHEbVlpRud0yIXotkReX9ZXwc_7mEmUdrLdR7rBrx8JItjf1ehOuvrM3qAGKAXTPQnhNenHzpBiham5GwQWcD_ldHu6EmSnYe7Gy-fb0LfQSDxkSX-8ygCzXdnaRK7-SxuP8sJpjWk8hkKk_0MOf9dZgZbv4mU3dNIktZuw9Y3pqYpCxuTBjFiNbRrjNLcT0EJEfMxuRNs9XXfzZ3xrgcg4Ab1zTd7f9_KmYoj_FrgjQG20ME9E18pALAGJAS6LBTbyUgLhP5vqvBj983tYANr4DbbB_98fj3JelKwOccKwIYw-jjPmxKExTUlYpH_W9Cfw2paBvs-Npi9bQu3MgG2QTYoyUpKC2SRywT1bDPaqpdEwto854NyxZUHUNEOp0X40fP2g==&p=1&fvj=0&vjs=3,IT Hardware Asset Management Administrator
2,"Bachelor’s degree (computer science, electronics engineering or other engineering or technical discipline is required).,8 years of additional relevant experience may be substituted for education.,Bachelor’s degree (computer science, electronics engineering or other engineering or technical discipline is required).,Five years of experience is required. (8 years of additional relevant experience may be substituted for education).,Paid PTO and sick leave (15 days initially),Paid Federal Government Holidays,100% Medical premium for employee,100% Dental and Vision,100% paid Life, short and long-term disability insurance for employee,401K",https://www.indeed.com/rc/clk?jk=800e82d88b6f6322&fccid=7c9cc47407257d65&vjs=3,System Administrator - All Levels - ITOPS _ REMOTE
3,"Support the following software environments: Windows, Windows Server, mainstream mobile devices/platforms,Responsible for supervising the correct operation and monitoring of end-user systems,Support enterprise applications including - Active Directory, Exchange, IIS, Group Policy, SQL, Great Plains, network stacks, network connectivity issues and troubleshooting, access control lists, and firewall rules,Ensure Payment Card Industry (PCI) compliance at all restaurants,Contribute to the research, selection, and deployment of solutions to technology needs in the areas of hardware, software, network, and security,Provide technical support, troubleshooting and root cause determination for all systems within the restaurants and support center,Provide in person support to restaurants and support center members as needed,Hardware installation and software configuration for new systems using configuration/hardening standards including documentation,Working knowledge of multi-unit restaurant hardware configurations and software applications,Support and act as an escalation point for restaurants during emergencies as needed, i.e. restaurant system down on weekend, critical system (email, accounting, reporting, etc.) failure,Demonstrate time management skills and the ability to prioritize work in a highly dynamic and high pressure environment while interacting with a variety of different users, ranging from the restaurant level to the Executive Team,Effectively manage vendors to meet or exceed our expectations,Communicate about highly technical or complex concepts, roadmaps, solutions, etc. in a clear and concise manner to multiple and varied audiences, including non-technical or executive level audiences,Adapt to changing business and IT processes, technologies and requirements,Support the research and procurement of new vendors and products in all areas of IT including hardware, software, network, and security to meet new business initiatives,3+ years of experience in Hospitality or Retail multi-unit environment a plus,Must be self-motivated with strong initiative to learn,Ability to work in a team-oriented, collaborative environment on projects and troubleshooting,Ability to contribute to setting the strategic direction for IT systems, and experience in instituting and driving creative solutions within IT,Experience with client/remote/mobile support and administration,Experience with O/S administration and maintenance,Experience with installing, deploying, configuring and maintaining desktop/mobile hardware and associated equipment,Experience with providing network support,Strong understanding of network security,Strong understanding of PCI compliance standards,Powershell or other scripting experience a plus,BS/BA degree in Information Systems, Computer Science or related field preferred, or equivalent formal training or work experience,Previous PCI related certifications a plus,CCNA a plus,MCSA or equivalent a plus",https://www.indeed.com/rc/clk?jk=c782cde4072e004f&fccid=435537a80a45fa23&vjs=3,INFORMATION TECHNOLOGY SYSTEMS ADMINISTRATOR
4,"Dental insurance,Health insurance,Paid time off,Professional development assistance,Monday to Friday,Signing bonus,IT: 3 years (Required),MCSE / MCSA (Required),United States (Required),Do you possess a - Microsoft 365 Certified: Modern Desktop Administrator Associate certification?,Yes",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7GGeSl_1Fm7yTE_zG3Sb6LQDMUqR04mL9BQVXp1OCbFrNIXYyCfhsGA38SgnmYJAdq18TLgEzfXukqImG58imZ8Hp-5suYBEg2C312IUJ0RSwwKGqusS-pFwqUJqH0PSJeM9N59je2P9y97yzIXY6YPinSKL6lPz66eMrYNhNIk5BPYnhoOHigseCOXL4MNmlKJj-Vkqfp3ccTnBkAjvWgRa_JD0bEyesbkaf42A2dnkOXterVJpDnYmuuJixCZ3hJ4ysy1wCPf9Rt08KtBZvZ1dMwQdj2VR5pbEifDduMeHgc8N34vCtuiSgDjeRuby6dOcV3MmU8r8lxtHXXaO2clg9musrZfPLMTWx8YnZyzdmFT43ePfQMfDPD3m893rwEJgVVvLuujMdjRzyiKQHmOu1NfavoTzrAomZIvfc7bFS1ZuoltRo9zoIWOd66K1KheVspJdQAQ==&p=4&fvj=1&vjs=3,IT Specialist
5,"Administers complex configuration, integration and maintenance of Netsuite and other critical business systems.,Makes system enhancements and modifications based on evolving business/financial requirements.,Manages data migrations, including ETL and other data transformation activates between systems,Document requirements, design and analyze a variety of reports or queries. Design reports related to internal systems for management and audit purposes,Design and communicate reports and saved searches in a user-friendly manner,Bachelor’s degree in relevant discipline,Three-to-five years of hands-on experience with NetSuite customizations and data migration,Extensive experience as a business systems analyst or financial analyst,Fully efficient in custom record types, fields, forms, roles and permissions, page layouts, searches and reports, and NetSuite data model,Can demonstrate experience with CRM or ERP systems,Can exercise strong problem-solving skills, and analytical thinking,Affordable Health Insurance (starting at $0 per month),,Industry Best Paid Vacation and Holidays,Life & Disability Insurance, 401(k),Gym Membership Reimbursement,Paid Certifications and Trainings for Career Development,Opportunities for advancement, including training programs where you get paid to learn,High volume shops,Clean professional work environment with access to the best tools and technologies in the industry,A Top Family Owned Business in the DC area, as awarded by the Washington Business Journal, that is committed to employee advancement and growth. Virginia Tire & Auto offers career paths and stability to its 400+ employees.,Best of NOVA Auto Repair winner 2013, 2014, 2015 and 2018 by Northern Virginia Magazine,Top Shop in North America by Tire Review Magazine",https://www.indeed.com/rc/clk?jk=11c329032beebe68&fccid=73d5deabd6208dff&vjs=3,Systems Administrator
6,"Competitive compensation package,Great culture within an innovative company,Training and support to assist you in achieving your goals,Paid time off over major holidays,401k with employer contribution,Medical, Dental, Life Insurance, Accident Insurance, Critical Care Insurance,Career advancement opportunities,...and more!,Managing the IT inventory system,Submitting invoices to the dealerships,Managing and reconciling inventory with billing,Providing reports to management on a daily, weekly and monthly basis,Ordering new hardware and IT equipment,Assisting with administrative tasks as required,Excellent written and oral communication skills,Strong interpersonal and customer service skills,Strong organizational skills,Ability to work under pressure and meet deadlines,Intermediate or higher proficiency in Microsoft Excel and/or Google Platform preferred,Familiarity with Reynolds & Reynolds or ADP/CDK DMS is a plus,Ability to lift 40 pounds, unassisted",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0iNvWjgvYYxtiiT-qam-K713c0jSiBKZFRDKwmqPu5e4GqPkrVBvCirH78HoFmOJ11kVNf4tScZexnh3Rt7-a2Bdd_GfjyktpHFwIvsGr4qAgH4mSegIlGqXEYK4GK3OuzqsihGuX4JRyRfzcsOgh-ySrL0QGcug0GWTXlRFx37DbtRuU4B1rZ7UN9Svs0NxCg3K6ZeaIJuqa0hpTFtbLDv_1tovt7t8j_bJhgrgELag5ojqT6zIWMHMhJBcLnW9DCjnZLun1MdCE8fizFxarqbUB-J8Dz0clWbBgehYU9DUTAemz1CmQD_ex8jrS79pBkkWWiAm_ktI8TRcGPf4E9rcf_tkePDyubngHIR6jFUSiGrHL3QPcrUtPF-Sh4RvHboo3QI4Aj33qqnftGqWtzvLnJJhejOpsNbzNuTTE7SUe8J4O3QrTkbNNnI_o0E5rkUmG_-AKsZE4UODumCy99D_wD7qAXsrNu3quXLMIZjZaLLuo0R7H0aRCJV7z1caL5Gnd7PayPqp7TZgaXn6N88Fa6F1-4-9BWJ-UjUhyTL2512U4FS84LdyQvn5QNJCDJFYE1nMDzYTZhQg3tZwcHCDFZkeiZ9pJx9cKc_usBj_7L1M__x7SsGxn71s7aGkqe6afh5Zo7dorP0sMuFu39GRJP5RjszIRxqirIYRaEIzp0X4wm5NjMaZOkze3gKHhvq1ml_N0JjIHhJmSVRz_&p=6&fvj=0&vjs=3,IT Billing Clerk/ Admin
7,"Assists with all IT aspects of planned company projects.,Responsible for keeping the server room and equipment clean and organized,Works with the IT team to maintain network documentation,Provides and coordinates routine IT support and assistance to all departments.,Troubleshoots software, hardware, and communication issues.,Performs workstation installs and /or upgrades to computer systems.,Monitors and interprets Didlake computer systems and software.,Installs PC's, computer monitors, and peripheral equipment.,Installs computer programs on individual employee workstations.,Teaches best practice techniques for computer software and hardware to all employees.,Maintains building security access, issues security cards, and controls door access.,Will need to travel to remote sites on a regular basis to provide support to network users and to assist with basic network troubleshooting.,Manage all corporate mobile accounts,Address Service desk tickets as assigned.,Recognizes and promotes human rights for all consumers of service.,Responsible for fostering a positive team spirit and producing quality work.,Responsible for appropriate conduct and/or demeanor as dictated by Didlake policy and procedure.,Completes required paperwork and/or documentation.,Completes and maintains all required Didlake training.,Acts as a good steward of employer and government resources.,Responsible for following safety standards and guidelines in the proper use of the equipment and other activities.,Other duties as assigned and/or specified in Statement of Work.,Bachelor's Degree with technical experience OR High School diploma with a minimum of 2-3 years of relevant job-related experience such as technical support.,Experience in an office setting strongly preferred,Knowledge of Windows-based systems, LAN/WAN networks, Microsoft Office 2007/2010/2013, MS Exchange 2012, Active Directory, MS SQL Server, Trend Micro Web Filter, Trend Micro Antivirus, Sophos Email Filter, Barracuda Backup Systems, MS Visio 2003/2012, MS Project 2003/2012, Cisco VPN, ManageEngine Systems Software, TeamViewer, ADP HR, and Etime Systems Support, Keyscan Security Software.,Must be flexible and willing to travel to Didlake locations as this role requires 20-30% travel.,Ability to work autonomously with little to no direction.,Strong interpersonal skills.,Strong organizational skills and ability to prioritize.,Ability to multi-task.",https://www.indeed.com/rc/clk?jk=51b08bd00962d5fe&fccid=dcb8016b62acdd5f&vjs=3,IT Specialist
8,"Desktop Image Management,Virtual Desktop Infrastructure (VDI) Support Services,Home Directory and Profile Support Services,Print, Fax and Scan Support Services,Unified Communications Support Services,E-mail Support Services,Desktop Software Support Services,Desktop Entity Support Services,Domain Services,Directory, Authentication and Account Mgmt- O&S - Expanded 12x5,Domain Name Services,Dynamic Host Configuration Protocol (DHCP),Patch Management (Windows),Perform daily system monitoring, verifying the integrity and availability of all hardware, server resources, systems and key processes, reviewing system and application logs, and verifying completion of scheduled jobs such as backups.,Perform regular security monitoring to identify any possible intrusions.,Perform daily backup operations, ensuring all required file systems and system data are successfully backed up to the appropriate media, recovery tapes or disks are created, and media is recycled and sent off site as necessary.,Perform regular file archival and purge as necessary.,Create, change, and delete user accounts per request.,Provide Tier II & III/other support per request from various constituencies. Investigate and troubleshoot issues.,Repair and recover from hardware or software failures. Coordinate and communicate with impacted constituencies.,Maintenance,Apply OS patches and upgrades on a regular basis, and upgrade administrative tools and utilities. Configure / add new services as necessary.,Upgrade and configure system software that supports GIS infrastructure applications or Asset Management applications per project or operational needs.,Maintain operational, configuration, or other procedures.,Perform periodic performance reporting to support capacity planning.,Perform ongoing performance tuning, hardware upgrades, and resource optimization as required. Configure CPU, memory, and disk partitions as required.,Create and maintain documentation to help train employees resolve day to day issues and knowledge transfer.,Identify and execute process improvements and other enhancements that improve operational efficiency.,Security +,Meet the qualifications of one of the customer specified levels (0-4)",https://www.indeed.com/rc/clk?jk=065655e4e8ed55e3&fccid=1f996dab66544ed6&vjs=3,Systems Administrator - Workstation
9,"The Analyst is responsible for understanding the customer’s service objectives.,The Analyst is responsible for monitoring services, responding to events and alarms, and supporting the incident management process. This includes defining impact, performing remediation, and properly escalating and resolving incidents.,The Analyst supports service and change requests for a highly critical and dynamic environment.,The Analyst plans and executes security remediations and OS upgrades to devices.,The Analyst provides coaching and leadership in order to develop the skills of their team.,The Analyst must demonstrate a sense of urgency and an ability to communicate both proactively and reactively with customers and management.,With the assistance of 20/20 Teknology leadership, the Analyst must coordinate with external vendors and contractors in order to ensure rapid escalation and incident resolution.,Bachelor's degree or equivalent experience plus a minimum of 2 years related experience.,4 to 6 years' experience working in data networking support.,Routing and switching/Firewall (FW).,Working knowledge of TCP/IP and the functions of Network (NW) technologies.,Working understanding of NW security devices, IPsec VPNs, TCP/IP, Routing, Switching, VRF, VLANS, and Bandwidth Utilization.,Candidate must be capable to setup tools and capture, mine and interpret data from various tools such as Wireshark, Syslog, Netscout, and SteelCentral.,U.S. Citizenship required with a clear background check.,Must be able and willing to work shift work.,Troubleshooting, upgrading, and implementing Switches and Routers.,Troubleshooting, upgrading, and implementing Servers.,Troubleshooting, upgrading, and implementing IP Voice Services.,Troubleshooting, upgrading, and implementing Firewalls.,Troubleshooting and writing FW rules, NATs, and IPsec communications.,Use of ticketing tools in a NOC environment.,Candidate must demonstrate understanding of Incident, Change, Problem and Request management practices.,Cisco CCNA/CCNP: Routing & Switching,Fortinet NSE4 or NSE5,401(k),Dental insurance,Health insurance,Paid time off,Vision insurance,8 hour shift,Networking Support: 4 years (Preferred),LAN/WAN: 4 years (Preferred),System administration: 4 years (Preferred),CCNA R&S Certification (Preferred),Night Shift (Preferred),One location,Temporarily due to COVID-19",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CTHA6cd59lXtQJ-DuZtBHQsSjOn019HaVEc20FtZol1_8bPJW14iotuMuGn0biAaF_LcrwppqprCZSpQTPMiQxvbiYSjVhoUlQm53sN6IK59cHrJzqZm7X2yGj5BKxz02AVt1gulE8CQbg5WD-y4eWCNaKgC5-9mzkbJXnh2fJlCV3v7-a3DuZgOdAVbCP9qsN43PXYF_9IfGCIo8AgOGNfS5QoOCnbHQkICGl4L8uZTi5dn4NsX-yy4jo3XvnYTrwIEqF1sWWaX0zJ0BM5oAQgt0bqOGWVDhXHz32UmR3iz-Gpli74wttz3rVjDRtw_eIReFAKBCBYghiKZ4m69EVhYTnbrl8uDyoxhrOWzZ6h9BiC31OZuW4Uc2A7BoC9KOJwRSHFdvlWjuDe1-JG8S4qADX6MRd3dABe2UFRjJ92rysnEpGkyFIHRrHTinAZ6s1XnVFZVREUm54XkLK0gu1H7WiTVnub29zwjcnE9-tJLRtMeifW_nf&p=9&fvj=1&vjs=3,Network Administrator (2nd Shift)
